Name;Types;Abilities;Tier;HP;Attack;Defense;Special Attack;Special Defense;Speed;Next Evolution(s)
Beartic;['Ice'];['Snow Cloak', 'Swift Swim'];NU;95;110;80;70;80;50;[]
Beautifly;['Bug', 'Flying'];['Rivalry', 'Swarm'];NU;60;70;50;90;50;65;[]
Beedrill;['Bug', 'Poison'];['Sniper', 'Swarm'];NU;65;80;40;45;80;75;[]
Beheeyem;['Psychic'];['Analytic', 'Synchronize', 'Telepathy'];NU;75;75;75;125;95;40;[]
Beldum;['Steel', 'Psychic'];['Clear Body', 'Light Metal'];LC;40;55;80;35;60;30;['Metang']
Bellossom;['Grass'];['Chlorophyll', 'Healer'];NU;75;80;85;90;100;50;[]
Bellsprout;['Grass', 'Poison'];['Chlorophyll', 'Gluttony'];LC;50;75;35;70;30;40;['Weepinbell']
Bibarel;['Normal', 'Water'];['Moody', 'Simple', 'Unaware'];NU;79;85;60;55;60;71;[]
Bidoof;['Normal'];['Moody', 'Simple', 'Unaware'];LC;59;45;40;35;40;31;['Bibarel']
Bisharp;['Dark', 'Steel'];['Defiant', 'Inner Focus', 'Pressure'];UU;65;125;100;60;70;70;[]
Blastoise;['Water'];['Rain Dish', 'Torrent'];UU;79;83;100;85;105;78;[]
Blaziken;['Fire', 'Fighting'];['Blaze', 'Speed Boost'];Uber;80;120;70;110;70;80;[]
Blissey;['Normal'];['Healer', 'Natural Cure', 'Serene Grace'];OU;255;10;10;75;135;55;[]
Blitzle;['Electric'];['Lightning Rod', 'Motor Drive', 'Sap Sipper'];LC;45;60;32;50;32;76;['Zebstrika']
Boldore;['Rock'];['Sand Force', 'Sturdy'];;70;105;105;50;40;20;['Gigalith']
Bonsly;['Rock'];['Rattled', 'Rock Head', 'Sturdy'];LC;50;80;95;10;45;10;['Sudowoodo']
Bouffalant;['Normal'];['Reckless', 'Sap Sipper', 'Soundproof'];RU;95;110;95;40;95;55;[]
Braviary;['Normal', 'Flying'];['Defiant', 'Keen Eye', 'Sheer Force'];NU;100;123;75;57;75;80;[]
Breloom;['Grass', 'Fighting'];['Effect Spore', 'Poison Heal', 'Technician'];OU;60;130;80;60;60;70;[]
Bronzong;['Steel', 'Psychic'];['Heatproof', 'Heavy Metal', 'Levitate'];UU;67;89;116;79;116;33;[]
Bronzor;['Steel', 'Psychic'];['Heatproof', 'Heavy Metal', 'Levitate'];LC;57;24;86;24;86;23;['Bronzong']
Budew;['Grass', 'Poison'];['Leaf Guard', 'Natural Cure', 'Poison Point'];LC;40;30;35;50;70;55;['Roselia']
Buizel;['Water'];['Swift Swim', 'Water Veil'];LC;55;65;35;60;30;85;['Floatzel']
Bulbasaur;['Grass', 'Poison'];['Chlorophyll', 'Overgrow'];LC;45;49;49;65;65;45;['Ivysaur']
Buneary;['Normal'];['Klutz', 'Limber', 'Run Away'];LC;55;66;44;44;56;85;['Lopunny']
Burmy;['Bug'];['Overcoat', 'Shed Skin'];LC;40;29;45;29;45;36;['Mothim', 'Wormadam', 'Wormadam-Sandy', 'Wormadam-Trash']
Butterfree;['Bug', 'Flying'];['Compound Eyes', 'Tinted Lens'];NU;60;45;50;80;80;70;[]
Cacnea;['Grass'];['Sand Veil', 'Water Absorb'];LC;50;85;40;85;40;35;['Cacturne']
Cacturne;['Grass', 'Dark'];['Sand Veil', 'Water Absorb'];NU;70;115;60;115;60;55;[]
Camerupt;['Fire', 'Ground'];['Anger Point', 'Magma Armor', 'Solid Rock'];NU;70;100;70;105;75;40;[]
Carnivine;['Grass'];['Levitate'];NU;74;100;72;90;72;46;[]
Carracosta;['Water', 'Rock'];['Solid Rock', 'Sturdy', 'Swift Swim'];NU;74;108;133;83;65;32;[]
Carvanha;['Water', 'Dark'];['Rough Skin', 'Speed Boost'];;45;90;20;65;20;65;['Sharpedo']
Cascoon;['Bug'];['Shed Skin'];;50;35;55;25;25;15;['Dustox']
Castform;['Normal'];['Forecast'];NU;70;70;70;70;70;70;[]
Caterpie;['Bug'];['Run Away', 'Shield Dust'];LC;45;30;35;20;20;45;['Metapod']
Celebi;['Psychic', 'Grass'];['Natural Cure'];OU;100;100;100;100;100;100;[]
Chandelure;['Ghost', 'Fire'];['Flame Body', 'Flash Fire'];UUBL;60;55;90;145;90;80;[]
Chansey;['Normal'];['Healer', 'Natural Cure', 'Serene Grace'];UUBL;250;5;5;35;105;50;['Blissey']
Charizard;['Fire', 'Flying'];['Blaze', 'Solar Power'];NU;78;84;78;109;85;100;[]
Charmander;['Fire'];['Blaze', 'Solar Power'];LC;39;52;43;60;50;65;['Charmeleon']
Charmeleon;['Fire'];['Blaze', 'Solar Power'];;58;64;58;80;65;80;['Charizard']
Chatot;['Normal', 'Flying'];['Big Pecks', 'Keen Eye', 'Tangled Feet'];NU;76;65;45;92;42;91;[]
Cherrim;['Grass'];['Flower Gift'];NU;70;60;70;87;78;85;[]
Cherubi;['Grass'];['Chlorophyll'];LC;45;35;45;62;53;35;['Cherrim']
Chikorita;['Grass'];['Overgrow'];LC;45;49;65;49;65;45;['Bayleef']
Chimchar;['Fire'];['Blaze', 'Iron Fist'];LC;44;58;44;58;44;61;['Monferno']
Chimecho;['Psychic'];['Levitate'];NU;65;50;70;95;80;65;[]
Chinchou;['Water', 'Electric'];['Illuminate', 'Volt Absorb', 'Water Absorb'];LC;75;38;38;56;56;67;['Lanturn']
Chingling;['Psychic'];['Levitate'];LC;45;30;50;65;50;45;['Chimecho']
Cinccino;['Normal'];['Cute Charm', 'Skill Link', 'Technician'];RU;75;95;60;65;60;115;[]
Clamperl;['Water'];['Rattled', 'Shell Armor'];LC;35;64;85;74;55;32;['Gorebyss', 'Huntail']
Claydol;['Ground', 'Psychic'];['Levitate'];UU;60;70;105;70;120;75;[]
Clefable;['Normal'];['Cute Charm', 'Magic Guard', 'Unaware'];RU;95;70;73;85;90;60;[]
Clefairy;['Normal'];['Cute Charm', 'Friend Guard', 'Magic Guard'];;70;45;48;60;65;35;['Clefable']
Cleffa;['Normal'];['Cute Charm', 'Friend Guard', 'Magic Guard'];LC;50;25;28;45;55;15;['Clefairy']
Cloyster;['Water', 'Ice'];['Overcoat', 'Shell Armor', 'Skill Link'];OU;50;95;180;85;45;70;[]
Cobalion;['Steel', 'Fighting'];['Justified'];UU;91;90;129;90;72;108;[]
Cofagrigus;['Ghost'];['Mummy'];UU;58;50;145;95;105;30;[]
Combee;['Bug', 'Flying'];['Honey Gather', 'Hustle'];LC;30;30;42;30;42;70;['Vespiquen']
Combusken;['Fire', 'Fighting'];['Blaze', 'Speed Boost'];NU;60;85;60;85;60;55;['Blaziken']
Conkeldurr;['Fighting'];['Guts', 'Iron Fist', 'Sheer Force'];OU;105;140;95;55;65;45;[]
Corphish;['Water'];['Adaptability', 'Hyper Cutter', 'Shell Armor'];LC;43;80;65;50;35;35;['Crawdaunt']
Corsola;['Water', 'Rock'];['Hustle', 'Natural Cure', 'Regenerator'];NU;55;55;85;65;85;35;[]
Cottonee;['Grass'];['Chlorophyll', 'Infiltrator', 'Prankster'];LC;40;27;60;37;50;66;['Whimsicott']
Cradily;['Rock', 'Grass'];['Storm Drain', 'Suction Cups'];NU;86;81;97;81;107;43;[]
Cranidos;['Rock'];['Mold Breaker', 'Sheer Force'];LC;67;125;40;30;30;58;['Rampardos']
Crawdaunt;['Water', 'Dark'];['Adaptability', 'Hyper Cutter', 'Shell Armor'];RU;63;120;85;90;55;55;[]
Cresselia;['Psychic'];['Levitate'];RUBL;120;70;120;75;130;85;[]
Croagunk;['Poison', 'Fighting'];['Anticipation', 'Dry Skin', 'Poison Touch'];LC;48;61;40;61;40;50;['Toxicroak']
Crobat;['Poison', 'Flying'];['Infiltrator', 'Inner Focus'];UU;85;90;80;70;80;130;[]
Croconaw;['Water'];['Torrent'];;65;80;80;59;63;58;['Feraligatr']
Crustle;['Bug', 'Rock'];['Shell Armor', 'Sturdy', 'Weak Armor'];RU;70;95;125;65;75;45;[]
Cryogonal;['Ice'];['Levitate'];RU;70;50;30;95;135;105;[]
Cubchoo;['Ice'];['Rattled', 'Snow Cloak'];LC;55;70;40;60;40;40;['Beartic']
Cubone;['Ground'];['Battle Armor', 'Lightning Rod', 'Rock Head'];LC;50;50;95;40;50;35;['Marowak']
Cyndaquil;['Fire'];['Blaze'];LC;39;52;43;60;50;65;['Quilava']
Darkrai;['Dark'];['Bad Dreams'];Uber;70;90;90;135;90;125;[]
Darmanitan;['Fire'];['Sheer Force', 'Zen Mode'];UU;105;140;55;30;55;95;[]
Darmanitan-Zen;['Fire', 'Psychic'];['Zen Mode'];UU;105;30;105;140;105;55;[]
Darumaka;['Fire'];['Hustle', 'Inner Focus'];LC;70;90;45;15;45;50;['Darmanitan']
Deerling;['Normal', 'Grass'];['Chlorophyll', 'Sap Sipper', 'Serene Grace'];LC;60;60;50;40;50;75;['Sawsbuck']
Deino;['Dark', 'Dragon'];['Hustle'];LC;52;65;50;45;50;38;['Zweilous']
Delcatty;['Normal'];['Cute Charm', 'Normalize', 'Wonder Skin'];NU;70;65;65;55;55;70;[]
Delibird;['Ice', 'Flying'];['Hustle', 'Insomnia', 'Vital Spirit'];NU;45;55;45;65;45;75;[]
Deoxys;['Psychic'];['Pressure'];Uber;50;150;50;150;50;150;[]
Deoxys-Attack;['Psychic'];['Pressure'];Uber;50;180;20;180;20;150;[]
Deoxys-Defense;['Psychic'];['Pressure'];Uber;50;70;160;70;160;90;[]
Deoxys-Speed;['Psychic'];['Pressure'];Uber;50;95;90;95;90;180;[]
Dewgong;['Water', 'Ice'];['Hydration', 'Ice Body', 'Thick Fat'];NU;90;70;80;70;95;70;[]
Dewott;['Water'];['Shell Armor', 'Torrent'];;75;75;60;83;60;60;['Samurott']
Dialga;['Steel', 'Dragon'];['Pressure', 'Telepathy'];Uber;100;120;120;150;100;90;[]
Diglett;['Ground'];['Arena Trap', 'Sand Force', 'Sand Veil'];LC;10;55;25;35;45;95;['Dugtrio']
Ditto;['Normal'];['Imposter', 'Limber'];NU;48;48;48;48;48;48;[]
Dodrio;['Normal', 'Flying'];['Early Bird', 'Run Away', 'Tangled Feet'];NU;60;110;70;60;60;100;[]
Doduo;['Normal', 'Flying'];['Early Bird', 'Run Away', 'Tangled Feet'];LC;35;85;45;35;35;75;['Dodrio']
Donphan;['Ground'];['Sand Veil', 'Sturdy'];OU;90;120;120;60;60;50;[]
Dragonair;['Dragon'];['Marvel Scale', 'Shed Skin'];NU;61;84;65;70;70;70;['Dragonite']
Dragonite;['Dragon', 'Flying'];['Inner Focus', 'Multiscale'];OU;91;134;95;100;100;80;[]
Drapion;['Poison', 'Dark'];['Battle Armor', 'Keen Eye', 'Sniper'];RU;70;90;110;60;75;95;[]
Dratini;['Dragon'];['Marvel Scale', 'Shed Skin'];LC;41;64;45;50;50;50;['Dragonair']
Drifblim;['Ghost', 'Flying'];['Aftermath', 'Flare Boost', 'Unburden'];NU;150;80;44;90;54;80;[]
Drifloon;['Ghost', 'Flying'];['Aftermath', 'Flare Boost', 'Unburden'];LC;90;50;34;60;44;70;['Drifblim']
Drilbur;['Ground'];['Mold Breaker', 'Sand Force', 'Sand Rush'];LC;60;85;40;30;45;68;['Excadrill']
Drowzee;['Psychic'];['Forewarn', 'Inner Focus', 'Insomnia'];LC;60;48;45;43;90;42;['Hypno']
Druddigon;['Dragon'];['Mold Breaker', 'Rough Skin', 'Sheer Force'];RU;77;120;90;60;90;48;[]
Ducklett;['Water', 'Flying'];['Big Pecks', 'Hydration', 'Keen Eye'];LC;62;44;50;44;50;55;['Swanna']
Dugtrio;['Ground'];['Arena Trap', 'Sand Force', 'Sand Veil'];OU;35;80;50;50;70;120;[]
Dunsparce;['Normal'];['Rattled', 'Run Away', 'Serene Grace'];NU;100;70;70;65;65;45;[]
Duosion;['Psychic'];['Magic Guard', 'Overcoat', 'Regenerator'];NU;65;40;50;125;60;30;['Reuniclus']
Durant;['Bug', 'Steel'];['Hustle', 'Swarm', 'Truant'];RU;58;109;112;48;48;109;[]
Dusclops;['Ghost'];['Pressure'];UU;40;70;130;60;130;25;['Dusknoir']
Dusknoir;['Ghost'];['Pressure'];RU;45;100;135;65;135;45;[]
Duskull;['Ghost'];['Levitate'];LC;20;40;90;30;90;25;['Dusclops']
Dustox;['Bug', 'Poison'];['Compound Eyes', 'Shield Dust'];NU;60;50;70;50;90;65;[]
Dwebble;['Bug', 'Rock'];['Shell Armor', 'Sturdy', 'Weak Armor'];LC;50;65;85;35;35;55;['Crustle']
Eelektrik;['Electric'];['Levitate'];;65;85;70;75;70;40;['Eelektross']
Eelektross;['Electric'];['Levitate'];NU;85;115;80;105;80;50;[]
Eevee;['Normal'];['Adaptability', 'Anticipation', 'Run Away'];LC;55;55;50;45;65;55;['Espeon', 'Flareon', 'Glaceon', 'Jolteon', 'Leafeon', 'Umbreon', 'Vaporeon']
Ekans;['Poison'];['Intimidate', 'Shed Skin', 'Unnerve'];LC;35;60;44;40;54;55;['Arbok']
Electabuzz;['Electric'];['Static', 'Vital Spirit'];NU;65;83;57;95;85;105;['Electivire']
Electivire;['Electric'];['Motor Drive', 'Vital Spirit'];RU;75;123;67;95;85;95;[]
Electrike;['Electric'];['Lightning Rod', 'Minus', 'Static'];LC;40;45;40;65;40;65;['Manectric']
Electrode;['Electric'];['Aftermath', 'Soundproof', 'Static'];NU;60;50;70;80;80;140;[]
Elekid;['Electric'];['Static', 'Vital Spirit'];LC;45;63;37;65;55;95;['Electabuzz']
Elgyem;['Psychic'];['Analytic', 'Synchronize', 'Telepathy'];LC;55;55;55;85;55;30;['Beheeyem']
Emboar;['Fire', 'Fighting'];['Blaze', 'Reckless'];RU;110;123;65;100;65;65;[]
Emolga;['Electric', 'Flying'];['Motor Drive', 'Static'];NU;55;75;60;75;60;103;[]
Empoleon;['Water', 'Steel'];['Defiant', 'Torrent'];UU;84;86;88;111;101;60;[]
Entei;['Fire'];['Pressure'];RU;115;115;85;90;75;100;[]
Escavalier;['Bug', 'Steel'];['Overcoat', 'Shell Armor', 'Swarm'];RU;70;135;105;60;105;20;[]
Espeon;['Psychic'];['Magic Bounce', 'Synchronize'];OU;65;65;60;130;95;110;[]
Excadrill;['Ground', 'Steel'];['Mold Breaker', 'Sand Force', 'Sand Rush'];OU;110;135;60;50;65;88;[]
Exeggcute;['Grass', 'Psychic'];['Chlorophyll', 'Harvest'];LC;60;40;80;60;45;40;['Exeggutor']
Exeggutor;['Grass', 'Psychic'];['Chlorophyll', 'Harvest'];NU;95;95;85;125;65;55;[]
Exploud;['Normal'];['Scrappy', 'Soundproof'];NU;104;91;63;91;63;68;[]
Farfetch'd;['Normal', 'Flying'];['Defiant', 'Inner Focus', 'Keen Eye'];NU;52;65;55;58;62;60;[]
Fearow;['Normal', 'Flying'];['Keen Eye', 'Sniper'];NU;65;90;65;61;61;100;[]
Feebas;['Water'];['Adaptability', 'Swift Swim'];LC;20;15;20;10;55;80;['Milotic']
Feraligatr;['Water'];['Torrent'];RU;85;105;100;79;83;78;[]
Ferroseed;['Grass', 'Steel'];['Iron Barbs'];RU;44;50;91;24;86;10;['Ferrothorn']
Ferrothorn;['Grass', 'Steel'];['Iron Barbs'];OU;74;94;131;54;116;20;[]
Finneon;['Water'];['Storm Drain', 'Swift Swim', 'Water Veil'];LC;49;49;56;49;61;66;['Lumineon']
Flaaffy;['Electric'];['Plus', 'Static'];;70;55;55;80;60;45;['Ampharos']
Flareon;['Fire'];['Flash Fire', 'Guts'];NU;65;130;60;95;110;65;[]
Floatzel;['Water'];['Swift Swim', 'Water Veil'];NU;85;105;55;85;50;115;[]
Flygon;['Ground', 'Dragon'];['Levitate'];UU;80;100;80;80;80;100;[]
Foongus;['Grass', 'Poison'];['Effect Spore', 'Regenerator'];LC;69;55;45;55;55;15;['Amoonguss']
Forretress;['Bug', 'Steel'];['Overcoat', 'Sturdy'];OU;75;90;140;60;60;40;[]
Fraxure;['Dragon'];['Mold Breaker', 'Rivalry', 'Unnerve'];NU;66;117;70;40;50;67;['Haxorus']
Frillish;['Water', 'Ghost'];['Cursed Body', 'Damp', 'Water Absorb'];LC;55;40;50;65;85;40;['Jellicent']
Froslass;['Ice', 'Ghost'];['Cursed Body', 'Snow Cloak'];UUBL;70;80;70;80;70;110;[]
Furret;['Normal'];['Frisk', 'Keen Eye', 'Run Away'];NU;85;76;64;45;55;90;[]
Gabite;['Dragon', 'Ground'];['Rough Skin', 'Sand Veil'];NU;68;90;65;50;55;82;['Garchomp']
Gallade;['Psychic', 'Fighting'];['Justified', 'Steadfast'];RU;68;125;65;65;115;80;[]
Galvantula;['Bug', 'Electric'];['Compound Eyes', 'Swarm', 'Unnerve'];RU;70;77;60;97;60;108;[]
Garbodor;['Poison'];['Aftermath', 'Stench', 'Weak Armor'];NU;80;95;82;60;82;75;[]
Garchomp;['Dragon', 'Ground'];['Rough Skin', 'Sand Veil'];OU;108;130;95;80;85;102;[]
Gardevoir;['Psychic'];['Synchronize', 'Telepathy', 'Trace'];NU;68;65;65;125;115;80;[]
Gastly;['Ghost', 'Poison'];['Levitate'];LC;30;35;30;100;35;80;['Haunter']
Gastrodon;['Water', 'Ground'];['Sand Force', 'Sticky Hold', 'Storm Drain'];OU;111;83;68;92;82;39;[]
Genesect;['Bug', 'Steel'];['Download'];Uber;71;120;95;120;95;99;[]
Gengar;['Ghost', 'Poison'];['Levitate'];OU;60;65;60;130;75;110;[]
Geodude;['Rock', 'Ground'];['Rock Head', 'Sand Veil', 'Sturdy'];LC;40;80;100;30;30;20;['Graveler']
Gible;['Dragon', 'Ground'];['Rough Skin', 'Sand Veil'];LC;58;70;45;40;45;42;['Gabite']
Gigalith;['Rock'];['Sand Force', 'Sturdy'];NU;85;135;130;60;70;25;[]
Girafarig;['Normal', 'Psychic'];['Early Bird', 'Inner Focus', 'Sap Sipper'];NU;70;80;65;90;65;85;[]
Giratina;['Ghost', 'Dragon'];['Pressure', 'Telepathy'];Uber;150;100;120;100;120;90;['Giratina-Origin']
Giratina-Origin;['Ghost', 'Dragon'];['Levitate'];Uber;150;120;100;120;100;90;[]
Glaceon;['Ice'];['Ice Body', 'Snow Cloak'];NU;65;60;110;130;95;65;[]
Glalie;['Ice'];['Ice Body', 'Inner Focus', 'Moody'];NU;80;80;80;80;80;80;[]
Glameow;['Normal'];['Keen Eye', 'Limber', 'Own Tempo'];LC;49;55;42;42;37;85;['Purugly']
Gligar;['Ground', 'Flying'];['Hyper Cutter', 'Immunity', 'Sand Veil'];UU;65;75;105;35;65;85;['Gliscor']
Gliscor;['Ground', 'Flying'];['Hyper Cutter', 'Poison Heal', 'Sand Veil'];OU;75;95;125;45;75;95;[]
Gloom;['Grass', 'Poison'];['Chlorophyll', 'Stench'];;60;65;70;85;75;40;['Bellossom', 'Vileplume']
Golbat;['Poison', 'Flying'];['Infiltrator', 'Inner Focus'];NU;75;80;70;65;75;90;['Crobat']
Goldeen;['Water'];['Lightning Rod', 'Swift Swim', 'Water Veil'];LC;45;67;60;35;50;63;['Seaking']
Golduck;['Water'];['Cloud Nine', 'Damp', 'Swift Swim'];NU;80;82;78;95;80;85;[]
Golem;['Rock', 'Ground'];['Rock Head', 'Sand Veil', 'Sturdy'];NU;80;110;130;55;65;45;[]
Golett;['Ground', 'Ghost'];['Iron Fist', 'Klutz', 'No Guard'];LC;59;74;50;35;50;35;['Golurk']
Golurk;['Ground', 'Ghost'];['Iron Fist', 'Klutz', 'No Guard'];NU;89;124;80;55;80;55;[]
Gorebyss;['Water'];['Hydration', 'Swift Swim'];NU;55;84;105;114;75;52;[]
Gothita;['Psychic'];['Frisk', 'Shadow Tag'];LC;45;30;50;55;65;45;['Gothorita']
Gothitelle;['Psychic'];['Frisk', 'Shadow Tag'];UUBL;70;55;95;95;110;65;[]
Gothorita;['Psychic'];['Frisk', 'Shadow Tag'];;60;45;70;75;85;55;['Gothitelle']
Granbull;['Normal'];['Intimidate', 'Quick Feet', 'Rattled'];NU;90;120;75;60;60;45;[]
Graveler;['Rock', 'Ground'];['Rock Head', 'Sand Veil', 'Sturdy'];;55;95;115;45;45;35;['Golem']
Grimer;['Poison'];['Poison Touch', 'Stench', 'Sticky Hold'];LC;80;80;50;40;50;25;['Muk']
Grotle;['Grass'];['Overgrow', 'Shell Armor'];;75;89;85;55;65;36;['Torterra']
Groudon;['Ground'];['Drought'];Uber;100;150;140;100;90;90;[]
Grovyle;['Grass'];['Overgrow', 'Unburden'];;50;65;45;85;65;95;['Sceptile']
Growlithe;['Fire'];['Flash Fire', 'Intimidate', 'Justified'];LC;55;70;45;70;50;60;['Arcanine']
Grumpig;['Psychic'];['Gluttony', 'Own Tempo', 'Thick Fat'];NU;80;45;65;90;110;80;[]
Gulpin;['Poison'];['Gluttony', 'Liquid Ooze', 'Sticky Hold'];LC;70;43;53;43;53;40;['Swalot']
Gurdurr;['Fighting'];['Guts', 'Iron Fist', 'Sheer Force'];NU;85;105;85;40;50;40;['Conkeldurr']
Gyarados;['Water', 'Flying'];['Intimidate', 'Moxie'];OU;95;125;79;60;100;81;[]
Happiny;['Normal'];['Friend Guard', 'Natural Cure', 'Serene Grace'];LC;100;5;5;15;65;30;['Chansey']
Hariyama;['Fighting'];['Guts', 'Sheer Force', 'Thick Fat'];RU;144;120;60;40;60;50;[]
Haunter;['Ghost', 'Poison'];['Levitate'];NU;45;50;45;115;55;95;['Gengar']
Haxorus;['Dragon'];['Mold Breaker', 'Rivalry', 'Unnerve'];OU;76;147;90;60;70;97;[]
Heatmor;['Fire'];['Flash Fire', 'Gluttony', 'White Smoke'];NU;85;97;66;105;66;65;[]
Heatran;['Fire', 'Steel'];['Flash Fire'];OU;91;90;106;130;106;77;[]
Heracross;['Bug', 'Fighting'];['Guts', 'Moxie', 'Swarm'];UU;80;125;75;40;95;85;[]
Herdier;['Normal'];['Intimidate', 'Sand Rush', 'Scrappy'];;65;80;65;35;65;60;['Stoutland']
Hippopotas;['Ground'];['Sand Force', 'Sand Stream'];LC;68;72;78;38;42;32;['Hippowdon']
Hippowdon;['Ground'];['Sand Force', 'Sand Stream'];OU;108;112;118;68;72;47;[]
Hitmonchan;['Fighting'];['Inner Focus', 'Iron Fist', 'Keen Eye'];RU;50;105;79;35;110;76;[]
Hitmonlee;['Fighting'];['Limber', 'Reckless', 'Unburden'];RU;50;120;53;35;110;87;[]
Hitmontop;['Fighting'];['Intimidate', 'Steadfast', 'Technician'];UU;50;95;95;35;110;70;[]
Ho-Oh;['Fire', 'Flying'];['Pressure', 'Regenerator'];Uber;106;130;90;110;154;90;[]
Honchkrow;['Dark', 'Flying'];['Insomnia', 'Moxie', 'Super Luck'];UU;100;125;52;105;52;71;[]
Hoothoot;['Normal', 'Flying'];['Insomnia', 'Keen Eye', 'Tinted Lens'];LC;60;30;30;36;56;50;['Noctowl']
Hoppip;['Grass', 'Flying'];['Chlorophyll', 'Infiltrator', 'Leaf Guard'];LC;35;35;40;35;55;50;['Skiploom']
Horsea;['Water'];['Damp', 'Sniper', 'Swift Swim'];LC;30;40;70;70;25;60;['Seadra']
Houndoom;['Dark', 'Fire'];['Early Bird', 'Flash Fire', 'Unnerve'];UU;75;90;50;110;80;95;[]
Houndour;['Dark', 'Fire'];['Early Bird', 'Flash Fire', 'Unnerve'];LC;45;60;30;80;50;65;['Houndoom']
Huntail;['Water'];['Swift Swim', 'Water Veil'];NU;55;104;105;94;75;52;[]
Hydreigon;['Dark', 'Dragon'];['Levitate'];OU;92;105;90;125;90;98;[]
Hypno;['Psychic'];['Forewarn', 'Inner Focus', 'Insomnia'];NU;85;73;70;73;115;67;[]
Igglybuff;['Normal'];['Cute Charm', 'Friend Guard'];LC;90;30;15;40;20;15;['Jigglypuff']
Illumise;['Bug'];['Oblivious', 'Prankster', 'Tinted Lens'];NU;65;47;55;73;75;85;[]
Infernape;['Fire', 'Fighting'];['Blaze', 'Iron Fist'];OU;76;104;71;104;71;108;[]
Ivysaur;['Grass', 'Poison'];['Chlorophyll', 'Overgrow'];;60;62;63;80;80;60;['Venusaur']
